Leg	Site	H	Core	T	Sec	Top (cm)	Depth (mbsf)	   L*  	   a*  	   b*  	   Munsell_HVC  	   X   	   Y   	   Z
198	1209	A	  1	H	  1	     2.5	       0.025	  41.30	   1.11	   6.68	  2.8 Y  4.0/1.0	  11.58	  12.05	  10.48
198	1209	A	  1	H	  1	     5.0	       0.050	  58.23	   1.27	  10.26	  2.8 Y  5.7/1.5	  25.14	   26.2	  21.89
198	1209	A	  1	H	  1	     7.5	       0.075	  59.45	    .88	  10.12	  3.4 Y  5.8/1.4	   26.3	  27.52	  23.16
198	1209	A	  1	H	  1	    10.0	       0.100	  61.77	   1.03	   8.61	  2.6 Y  6.0/1.2	  28.83	  30.13	  26.51
198	1209	A	  1	H	  1	    12.5	       0.125	  56.71	    .73	   7.84	  3.4 Y  5.5/1.1	  23.51	  24.63	  21.77
198	1209	A	  1	H	  1	    15.0	       0.150	  53.05	    .45	   6.92	  4.0 Y  5.2/1.0	  20.09	  21.09	  18.92
198	1209	A	  1	H	  1	    17.5	       0.175	  51.01	    .31	   6.56	   4.3 Y  5.0/.9	  18.34	  19.28	  17.36
198	1209	A	  1	H	  1	    20.0	       0.200	  50.16	    .38	   6.22	   4.1 Y  4.9/.9	  17.66	  18.55	  16.83
198	1209	A	  1	H	  1	    22.5	       0.225	  50.95	    .16	   5.23	   4.5 Y  5.0/.7	  18.26	  19.23	  17.95
198	1209	A	  1	H	  1	    25.0	       0.250	  50.33	    .28	   6.27	   4.4 Y  4.9/.9	  17.77	  18.69	  16.94
198	1209	A	  1	H	  1	    27.5	       0.275	  49.86	    .11	   5.74	   4.7 Y  4.9/.8	  17.37	   18.3	  16.81
198	1209	A	  1	H	  1	    30.0	       0.300	  51.52	    .01	   4.99	   4.8 Y  5.0/.7	   18.7	  19.72	  18.56
198	1209	A	  1	H	  1	    32.5	       0.325	  51.93	   -.23	   5.17	   6.3 Y  5.0/.7	  18.99	  20.08	  18.82
198	1209	A	  1	H	  1	    35.0	       0.350	  52.41	   -.19	   5.06	   6.0 Y  5.1/.7	  19.41	  20.51	   19.3
198	1209	A	  1	H	  1	    37.5	       0.375	  51.96	   -.29	   5.66	   6.6 Y  5.1/.8	  19.01	  20.11	   18.6
198	1209	A	  1	H	  1	    40.0	       0.400	  51.76	   -.07	   6.07	   5.2 Y  5.0/.9	  18.88	  19.93	  18.23
198	1209	A	  1	H	  1	    42.5	       0.425	  50.05	   -.11	   5.96	   5.5 Y  4.9/.8	  17.48	  18.46	  16.86
198	1209	A	  1	H	  1	    45.0	       0.450	  49.83	   -.15	   6.06	   5.7 Y  4.8/.9	   17.3	  18.28	  16.64
198	1209	A	  1	H	  1	    47.5	       0.475	  50.00	    .02	   5.94	   4.9 Y  4.9/.8	  17.47	  18.42	  16.83
198	1209	A	  1	H	  1	    50.0	       0.500	  52.20	    .07	   5.93	   4.7 Y  5.1/.8	  19.28	  20.32	  18.68
198	1209	A	  1	H	  1	    52.5	       0.525	  51.74	    .14	   5.94	   4.6 Y  5.0/.8	  18.91	  19.92	  18.28
198	1209	A	  1	H	  1	    55.0	       0.550	  51.68	    .14	   6.02	   4.6 Y  5.0/.9	  18.85	  19.86	  18.18
198	1209	A	  1	H	  1	    57.5	       0.575	  50.70	    .18	   6.16	   4.5 Y  4.9/.9	  18.05	  19.01	  17.29
198	1209	A	  1	H	  1	    60.0	       0.600	  52.00	    .16	   5.04	   4.5 Y  5.1/.7	  19.13	  20.14	  18.95
198	1209	A	  1	H	  1	    62.5	       0.625	  50.52	    .14	   6.39	   4.6 Y  4.9/.9	   17.9	  18.86	  17.04
198	1209	A	  1	H	  1	    65.0	       0.650	  51.06	    .19	   6.21	   4.5 Y  5.0/.9	  18.36	  19.32	  17.57
198	1209	A	  1	H	  1	    67.5	       0.675	  51.53	    .21	   6.18	   4.4 Y  5.0/.9	  18.74	  19.73	  17.98
198	1209	A	  1	H	  1	    70.0	       0.700	  55.47	    .69	   5.86	   3.1 Y  5.4/.8	  22.32	  23.39	  21.69
198	1209	A	  1	H	  1	    72.5	       0.725	  55.56	    .65	   6.14	   3.3 Y  5.4/.9	   22.4	  23.48	  21.62
198	1209	A	  1	H	  1	    75.0	       0.750	  54.62	    .39	   7.05	  4.1 Y  5.3/1.0	  21.47	  22.56	  20.25
198	1209	A	  1	H	  1	    77.5	       0.775	  54.94	    .46	   7.15	  4.0 Y  5.4/1.0	  21.78	  22.87	  20.49
198	1209	A	  1	H	  1	    80.0	       0.800	  55.02	    .58	   7.08	  3.7 Y  5.4/1.0	  21.87	  22.94	  20.59
198	1209	A	  1	H	  1	    82.5	       0.825	  54.21	    .78	   6.09	   3.1 Y  5.3/.9	  21.18	  22.17	  20.38
198	1209	A	  1	H	  1	    85.0	       0.850	  56.08	    .34	   6.94	  4.2 Y  5.5/1.0	  22.82	  23.99	  21.67
198	1209	A	  1	H	  1	    87.5	       0.875	  56.00	    .37	   7.14	  4.2 Y  5.5/1.0	  22.75	  23.91	  21.48
198	1209	A	  1	H	  1	    90.0	       0.900	  56.79	    .56	   7.98	  3.8 Y  5.5/1.1	  23.55	  24.71	  21.78
198	1209	A	  1	H	  1	    92.5	       0.925	  61.44	    .57	   8.20	  3.6 Y  6.0/1.1	  28.35	  29.75	   26.4
198	1209	A	  1	H	  1	    95.0	       0.950	  58.62	    .62	   6.67	   3.4 Y  5.7/.9	  25.38	  26.62	  24.35
198	1209	A	  1	H	  1	    97.5	       0.975	  58.56	    .56	   5.96	   3.3 Y  5.7/.8	  25.31	  26.55	  24.72
198	1209	A	  1	H	  1	   100.0	       1.000	  57.98	    .63	   6.55	   3.3 Y  5.7/.9	  24.73	  25.93	  23.76
198	1209	A	  1	H	  1	   102.5	       1.025	  57.57	    .44	   7.60	  4.0 Y  5.6/1.0	  24.28	  25.51	  22.75
198	1209	A	  1	H	  1	   105.0	       1.050	  60.90	    .90	   8.76	  3.1 Y  6.0/1.2	  27.84	  29.13	  25.47
198	1209	A	  1	H	  1	   107.5	       1.075	  63.52	    .91	   8.34	  2.8 Y  6.2/1.2	  30.78	  32.21	  28.64
198	1209	A	  1	H	  1	   110.0	       1.100	  56.15	    .73	   7.29	  3.4 Y  5.5/1.0	  22.97	  24.06	  21.54
198	1209	A	  1	H	  1	   112.5	       1.125	  64.25	    .73	   7.62	  3.0 Y  6.3/1.0	  31.59	  33.11	  29.98
198	1209	A	  1	H	  1	   115.0	       1.150	  60.72	    .52	   7.94	  3.8 Y  5.9/1.1	  27.56	  28.93	  25.79
198	1209	A	  1	H	  1	   117.5	       1.175	  56.40	    .78	   5.90	   2.9 Y  5.5/.8	  23.22	  24.31	  22.56
198	1209	A	  1	H	  1	   120.0	       1.200	  53.40	    .49	   6.69	  3.9 Y  5.2/1.0	   20.4	  21.41	  19.34
198	1209	A	  1	H	  1	   122.5	       1.225	  50.98	    .04	   7.64	  5.0 Y  5.0/1.1	  18.26	  19.25	  16.83
198	1209	A	  1	H	  1	   125.0	       1.250	  49.28	    .21	   7.26	  4.7 Y  4.8/1.0	  16.94	  17.82	  15.66
198	1209	A	  1	H	  1	   127.5	       1.275	  50.13	    .10	   7.79	  4.9 Y  4.9/1.1	  17.58	  18.53	  16.08
198	1209	A	  1	H	  1	   130.0	       1.300	  51.61	    .19	   7.50	  4.7 Y  5.0/1.1	  18.81	   19.8	   17.4
198	1209	A	  1	H	  1	   132.5	       1.325	  50.03	    .16	   7.70	  4.8 Y  4.9/1.1	  17.52	  18.45	  16.05
198	1209	A	  1	H	  1	   135.0	       1.350	  50.62	    .04	   7.48	  5.0 Y  4.9/1.1	  17.96	  18.94	  16.61
198	1209	A	  1	H	  1	   137.5	       1.375	  51.20	    .02	   7.30	  5.0 Y  5.0/1.0	  18.43	  19.44	  17.16
198	1209	A	  1	H	  1	   140.0	       1.400	  52.20	    .04	   7.34	  4.9 Y  5.1/1.0	  19.27	  20.32	  17.98
198	1209	A	  1	H	  1	   142.5	       1.425	  52.20	   -.04	   6.23	   5.1 Y  5.1/.9	  19.26	  20.32	  18.53
198	1209	A	  1	H	  1	   145.0	       1.450	  53.04	   -.04	   6.95	  5.2 Y  5.2/1.0	  19.97	  21.08	  18.89
198	1209	A	  1	H	  1	   147.5	       1.475	  53.26	   -.11	   7.56	  5.4 Y  5.2/1.1	  20.15	  21.28	  18.77
198	1209	A	  1	H	  2	     2.5	       1.525	  51.52	    .00	   7.37	  5.0 Y  5.0/1.0	   18.7	  19.72	   17.4
198	1209	A	  1	H	  2	     5.0	       1.550	  53.31	    .00	   7.83	  5.0 Y  5.2/1.1	  20.23	  21.33	  18.68
198	1209	A	  1	H	  2	     7.5	       1.575	  55.17	   -.06	   7.97	  5.1 Y  5.4/1.1	  21.88	  23.09	  20.26
198	1209	A	  1	H	  2	    10.0	       1.600	  55.69	   -.26	   7.96	  5.9 Y  5.4/1.1	  22.32	  23.61	  20.75
198	1209	A	  1	H	  2	    12.5	       1.625	  54.50	    .00	   7.96	  4.9 Y  5.3/1.1	  21.28	  22.44	  19.65
198	1209	A	  1	H	  2	    15.0	       1.650	  57.12	    .08	   7.50	  4.7 Y  5.6/1.0	  23.77	  25.05	  22.37
198	1209	A	  1	H	  2	    17.5	       1.675	  57.09	   -.08	   7.21	  5.2 Y  5.6/1.0	  23.69	  25.01	  22.49
198	1209	A	  1	H	  2	    20.0	       1.700	  57.78	   -.06	   7.24	  5.1 Y  5.6/1.0	  24.38	  25.73	  23.17
198	1209	A	  1	H	  2	    22.5	       1.725	  56.49	   -.02	   6.73	   4.9 Y  5.5/.9	  23.13	   24.4	  22.18
198	1209	A	  1	H	  2	    25.0	       1.750	  56.98	   -.13	   6.80	   5.4 Y  5.6/.9	  23.58	   24.9	  22.62
198	1209	A	  1	H	  2	    27.5	       1.775	  55.69	   -.48	   7.02	  6.9 Y  5.4/1.0	  22.28	  23.61	  21.26
198	1209	A	  1	H	  2	    30.0	       1.800	  56.87	   -.41	   6.10	   6.7 Y  5.5/.8	  23.41	  24.79	  22.92
198	1209	A	  1	H	  2	    32.5	       1.825	  55.03	   -.73	   7.21	  7.8 Y  5.4/1.0	  21.61	  22.95	  20.54
198	1209	A	  1	H	  2	    35.0	       1.850	  55.09	   -.62	   6.88	   7.4 Y  5.4/.9	  21.69	  23.02	  20.77
198	1209	A	  1	H	  2	    37.5	       1.875	  54.19	   -.50	   6.49	   7.2 Y  5.3/.9	   20.9	  22.15	  20.15
198	1209	A	  1	H	  2	    40.0	       1.900	  52.44	   -.87	   6.08	   8.8 Y  5.1/.9	   19.3	  20.54	  18.81
198	1209	A	  1	H	  2	    42.5	       1.925	  52.98	  -1.17	   6.25	   9.8 Y  5.2/.9	   19.7	  21.02	  19.19
198	1209	A	  1	H	  2	    45.0	       1.950	  52.74	   -.55	   6.15	   7.6 Y  5.1/.9	  19.61	   20.8	  19.03
198	1209	A	  1	H	  2	    47.5	       1.975	  53.10	   -.90	   6.30	   8.8 Y  5.2/.9	  19.86	  21.13	  19.27
198	1209	A	  1	H	  2	    50.0	       2.000	  54.01	   -.75	   6.33	   8.2 Y  5.3/.9	  20.68	  21.98	  20.07
198	1209	A	  1	H	  2	    52.5	       2.025	  53.95	   -.84	   6.25	   8.6 Y  5.3/.9	  20.61	  21.92	  20.06
198	1209	A	  1	H	  2	    55.0	       2.050	  53.29	   -.47	   6.40	   7.1 Y  5.2/.9	  20.11	  21.31	  19.38
198	1209	A	  1	H	  2	    57.5	       2.075	  52.86	   -.72	   6.32	   8.1 Y  5.1/.9	  19.69	  20.92	  19.05
198	1209	A	  1	H	  2	    60.0	       2.100	  53.37	   -.50	   6.61	   7.1 Y  5.2/.9	  20.17	  21.39	  19.35
198	1209	A	  1	H	  2	    62.5	       2.125	  54.04	   -.40	   6.74	   6.6 Y  5.3/.9	  20.79	  22.01	  19.89
198	1209	A	  1	H	  2	    65.0	       2.150	  53.44	   -.38	   6.29	   6.6 Y  5.2/.9	  20.26	  21.45	  19.58
198	1209	A	  1	H	  2	    67.5	       2.175	  55.73	   -.65	   6.80	   7.6 Y  5.4/.9	  22.27	  23.64	  21.41
198	1209	A	  1	H	  2	    70.0	       2.200	  55.14	   -.57	   5.71	   7.6 Y  5.4/.8	  21.75	  23.07	  21.46
198	1209	A	  1	H	  2	    72.5	       2.225	  56.94	   -.18	   6.28	   5.6 Y  5.5/.9	  23.52	  24.86	  22.88
198	1209	A	  1	H	  2	    75.0	       2.250	  60.59	    .12	   5.69	   4.5 Y  5.9/.8	  27.31	  28.78	  27.07
198	1209	A	  1	H	  2	    77.5	       2.275	  60.06	    .19	   5.45	   4.1 Y  5.9/.7	  26.77	  28.19	  26.64
198	1209	A	  1	H	  2	    80.0	       2.300	  57.05	   -.08	   5.69	   5.1 Y  5.6/.8	  23.66	  24.97	  23.33
198	1209	A	  1	H	  2	    82.5	       2.325	  56.39	    .16	   5.45	   4.4 Y  5.5/.8	  23.07	   24.3	  22.81
198	1209	A	  1	H	  2	    85.0	       2.350	  55.76	    .46	   5.58	   3.6 Y  5.4/.8	  22.54	  23.67	  22.12
198	1209	A	  1	H	  2	    87.5	       2.375	  55.78	    .38	   5.65	   3.8 Y  5.4/.8	  22.54	  23.69	   22.1
198	1209	A	  1	H	  2	    90.0	       2.400	  54.10	    .35	   5.46	   3.9 Y  5.3/.8	     21	  22.07	  20.62
198	1209	A	  1	H	  2	    92.5	       2.425	  53.51	    .23	   5.51	   4.3 Y  5.2/.8	  20.45	  21.52	  20.05
198	1209	A	  1	H	  2	    95.0	       2.450	  53.21	    .41	   6.74	  4.2 Y  5.2/1.0	  20.21	  21.23	  19.14
198	1209	A	  1	H	  2	    97.5	       2.475	  50.98	    .19	   5.88	   4.5 Y  5.0/.8	  18.29	  19.25	  17.67
198	1209	A	  1	H	  2	   100.0	       2.500	  50.64	    .26	   6.04	   4.4 Y  4.9/.9	  18.02	  18.96	   17.3
198	1209	A	  1	H	  2	   102.5	       2.525	  52.71	    .46	   6.69	  4.0 Y  5.1/1.0	   19.8	  20.78	  18.74
198	1209	A	  1	H	  2	   105.0	       2.550	  53.67	    .27	   5.69	   4.3 Y  5.2/.8	  20.59	  21.67	   20.1
198	1209	A	  1	H	  2	   107.5	       2.575	  56.77	    .55	   6.25	   3.6 Y  5.5/.9	  23.53	  24.69	  22.73
198	1209	A	  1	H	  2	   110.0	       2.600	  58.03	    .13	   6.48	   4.7 Y  5.7/.9	  24.67	  25.99	  23.86
198	1209	A	  1	H	  2	   112.5	       2.625	  52.35	    .52	   5.78	   3.7 Y  5.1/.8	  19.49	  20.45	  18.88
198	1209	A	  1	H	  2	   115.0	       2.650	  51.90	    .60	   6.07	   3.7 Y  5.1/.9	  19.13	  20.05	  18.35
198	1209	A	  1	H	  2	   117.5	       2.675	  54.01	    .22	   6.57	   4.5 Y  5.3/.9	  20.89	  21.99	  19.95
198	1209	A	  1	H	  2	   120.0	       2.700	  48.45	   -.02	   5.94	   5.2 Y  4.7/.8	  16.25	  17.15	  15.61
198	1209	A	  1	H	  2	   122.5	       2.725	  48.20	   -.23	   5.70	   6.4 Y  4.7/.8	  16.03	  16.95	  15.52
198	1209	A	  1	H	  2	   125.0	       2.750	  48.25	   -.15	   5.95	   6.0 Y  4.7/.8	  16.08	  16.99	  15.45
198	1209	A	  1	H	  2	   127.5	       2.775	  50.23	   -.51	   5.93	   7.7 Y  4.9/.9	  17.55	  18.61	  17.02
198	1209	A	  1	H	  2	   130.0	       2.800	  50.27	   -.41	   6.19	   7.0 Y  4.9/.9	   17.6	  18.65	  16.93
198	1209	A	  1	H	  2	   132.5	       2.825	  50.39	   -.54	   6.26	   7.6 Y  4.9/.9	  17.67	  18.75	     17
198	1209	A	  1	H	  2	   135.0	       2.850	  50.07	   -.67	   6.37	   8.0 Y  4.9/.9	  17.39	  18.47	  16.68
198	1209	A	  1	H	  2	   137.5	       2.875	  50.24	   -.32	   6.44	   6.5 Y  4.9/.9	  17.59	  18.62	  16.79
198	1209	A	  1	H	  2	   140.0	       2.900	  51.48	   -.20	   6.27	   5.9 Y  5.0/.9	  18.62	  19.68	  17.89
198	1209	A	  1	H	  2	   142.5	       2.925	  52.44	  -1.07	   6.23	   9.5 Y  5.1/.9	  19.26	  20.54	  18.73
198	1209	A	  1	H	  2	   145.0	       2.950	  54.74	   -.58	   6.34	   7.6 Y  5.3/.9	  21.37	  22.67	  20.73
198	1209	A	  1	H	  2	   147.5	       2.975	  54.60	   -.41	   6.19	   6.9 Y  5.3/.9	  21.29	  22.55	  20.69
198	1209	A	  1	H	  3	     2.5	       3.025	  56.88	   -.19	   6.60	   5.6 Y  5.5/.9	  23.47	   24.8	  22.64
198	1209	A	  1	H	  3	     5.0	       3.050	  56.06	   -.15	   6.40	   5.5 Y  5.5/.9	  22.69	  23.97	  21.95
198	1209	A	  1	H	  3	     7.5	       3.075	  57.41	   -.23	   6.34	   5.9 Y  5.6/.9	  23.98	  25.35	  23.32
198	1209	A	  1	H	  3	    10.0	       3.100	  57.81	   -.01	   6.36	   4.9 Y  5.6/.9	  24.42	  25.76	  23.71
198	1209	A	  1	H	  3	    12.5	       3.125	  57.46	    .07	   6.47	   4.7 Y  5.6/.9	  24.09	  25.39	  23.28
198	1209	A	  1	H	  3	    15.0	       3.150	  57.27	    .05	   6.05	   4.8 Y  5.6/.8	   23.9	   25.2	  23.34
198	1209	A	  1	H	  3	    17.5	       3.175	  56.96	    .03	   6.39	   4.8 Y  5.6/.9	   23.6	  24.88	  22.84
198	1209	A	  1	H	  3	    20.0	       3.200	  57.61	   -.12	   5.82	   5.6 Y  5.6/.8	   24.2	  25.55	  23.82
198	1209	A	  1	H	  3	    22.5	       3.225	  56.58	   -.34	   5.91	   6.7 Y  5.5/.8	  23.14	  24.49	  22.73
198	1209	A	  1	H	  3	    25.0	       3.250	  55.14	   -.05	   5.91	   5.2 Y  5.4/.8	  21.85	  23.07	  21.35
198	1209	A	  1	H	  3	    27.5	       3.275	  54.70	    .11	   6.22	   4.7 Y  5.3/.9	  21.49	  22.64	  20.77
198	1209	A	  1	H	  3	    30.0	       3.300	  54.27	   -.21	   6.49	   6.0 Y  5.3/.9	  21.03	  22.23	  20.23
198	1209	A	  1	H	  3	    32.5	       3.325	  54.77	   -.25	   6.44	   6.2 Y  5.3/.9	  21.47	   22.7	  20.71
198	1209	A	  1	H	  3	    35.0	       3.350	  54.47	    .25	   6.84	  4.4 Y  5.3/1.0	  21.31	  22.42	  20.23
198	1209	A	  1	H	  3	    37.5	       3.375	  54.55	    .12	   6.99	  4.7 Y  5.3/1.0	  21.35	  22.49	  20.21
198	1209	A	  1	H	  3	    40.0	       3.400	  56.70	    .12	   6.70	   4.8 Y  5.5/.9	  23.37	  24.62	  22.41
198	1209	A	  1	H	  3	    42.5	       3.425	  57.33	    .08	   7.15	  4.9 Y  5.6/1.0	  23.96	  25.26	  22.77
198	1209	A	  1	H	  3	    45.0	       3.450	  55.65	   -.25	   6.61	   6.5 Y  5.4/.9	  22.29	  23.57	  21.44
198	1209	A	  1	H	  3	    47.5	       3.475	  55.24	    .04	   5.92	   5.0 Y  5.4/.8	  21.97	  23.16	  21.43
198	1209	A	  1	H	  3	    50.0	       3.500	  53.96	    .20	   4.80	   4.4 Y  5.3/.7	  20.84	  21.94	  20.85
198	1209	A	  1	H	  3	    52.5	       3.525	  57.91	   -.29	   4.48	   6.9 Y  5.6/.6	  24.45	  25.86	  24.93
198	1209	A	  1	H	  3	    55.0	       3.550	  60.17	   -.10	   5.27	   5.5 Y  5.9/.7	  26.81	  28.31	  26.87
198	1209	A	  1	H	  3	    57.5	       3.575	  62.49	    .12	   6.62	   4.6 Y  6.1/.9	   29.4	  30.98	   28.6
198	1209	A	  1	H	  3	    60.0	       3.600	  66.78	    .21	   6.25	   4.1 Y  6.5/.8	  34.51	  36.34	   34.1
198	1209	A	  1	H	  3	    62.5	       3.625	  67.98	    .11	   6.09	   4.4 Y  6.7/.8	  36.01	  37.94	   35.8
198	1209	A	  1	H	  3	    65.0	       3.650	  65.06	    .01	   5.38	   4.8 Y  6.4/.7	  32.36	  34.12	  32.56
198	1209	A	  1	H	  3	    67.5	       3.675	  62.94	   -.31	   5.04	   6.5 Y  6.1/.7	  29.79	  31.51	   30.2
198	1209	A	  1	H	  3	    70.0	       3.700	  59.23	    .26	   6.24	   4.2 Y  5.8/.8	  25.92	  27.28	  25.25
198	1209	A	  1	H	  3	    72.5	       3.725	  59.87	    .17	   6.33	   4.4 Y  5.8/.9	  26.56	  27.98	  25.87
198	1209	A	  1	H	  3	    75.0	       3.750	  59.56	    .10	   6.42	   4.6 Y  5.8/.9	  26.23	  27.64	  25.49
198	1209	A	  1	H	  3	    77.5	       3.775	  64.57	    .04	   6.64	   4.8 Y  6.3/.9	  31.77	  33.51	  31.05
198	1209	A	  1	H	  3	    80.0	       3.800	  63.85	    .18	   6.58	   4.3 Y  6.2/.9	  30.97	  32.62	  30.22
198	1209	A	  1	H	  3	    82.5	       3.825	  62.92	    .16	   6.71	   4.4 Y  6.1/.9	  29.89	  31.49	  29.04
198	1209	A	  1	H	  3	    85.0	       3.850	  64.83	    .13	   6.42	   4.4 Y  6.3/.9	  32.11	  33.83	  31.52
198	1209	A	  1	H	  3	    87.5	       3.875	  65.50	    .04	   5.97	   4.6 Y  6.4/.8	  32.88	  34.67	  32.67
198	1209	A	  1	H	  3	    90.0	       3.900	  68.51	    .04	   6.26	   4.5 Y  6.7/.8	  36.67	  38.67	  36.38
198	1209	A	  1	H	  3	    92.5	       3.925	  67.02	   -.11	   7.09	   5.0 Y  6.6/.9	  34.72	  36.66	  33.78
198	1209	A	  1	H	  3	    95.0	       3.950	  65.45	   -.07	   6.98	   4.9 Y  6.4/.9	   32.8	  34.62	  31.89
198	1209	A	  1	H	  3	    97.5	       3.975	  62.02	   -.08	   7.23	   5.0 Y  6.1/.9	  28.82	  30.42	  27.66
198	1209	A	  1	H	  3	   100.0	       4.000	  56.65	   -.09	   6.27	   5.3 Y  5.5/.9	  23.26	  24.56	   22.6
198	1209	A	  1	H	  3	   102.5	       4.025	  53.96	   -.16	   6.90	  5.5 Y  5.3/1.0	  20.76	  21.93	  19.73
198	1209	A	  1	H	  3	   105.0	       4.050	  57.29	    .00	   6.48	   4.9 Y  5.6/.9	  23.91	  25.22	  23.12
198	1209	A	  1	H	  3	   107.5	       4.075	  54.34	   -.05	   6.74	   5.0 Y  5.3/.9	  21.12	  22.29	  20.15
198	1209	A	  1	H	  3	   110.0	       4.100	  57.09	    .02	   7.12	  4.8 Y  5.6/1.0	  23.71	  25.01	  22.55
198	1209	A	  1	H	  3	   112.5	       4.125	  53.49	   -.03	   7.20	  5.0 Y  5.2/1.0	  20.37	   21.5	  19.15
198	1209	A	  1	H	  3	   115.0	       4.150	  53.95	    .12	   7.17	  4.7 Y  5.3/1.0	  20.81	  21.92	  19.58
198	1209	A	  1	H	  3	   117.5	       4.175	  58.75	    .18	   7.27	  4.5 Y  5.7/1.0	  25.41	  26.76	  24.13
198	1209	A	  1	H	  3	   120.0	       4.200	  60.38	    .34	   6.80	   4.0 Y  5.9/.9	  27.14	  28.54	  26.13
198	1209	A	  1	H	  3	   122.5	       4.225	  61.54	    .22	   7.04	   4.3 Y  6.0/.9	  28.36	  29.86	  27.24
198	1209	A	  1	H	  3	   125.0	       4.250	  61.42	    .28	   6.75	   4.1 Y  6.0/.9	  28.26	  29.73	  27.31
198	1209	A	  1	H	  3	   127.5	       4.275	  60.95	    .31	   6.46	   4.0 Y  5.9/.9	  27.75	  29.19	  26.97
198	1209	A	  1	H	  3	   130.0	       4.300	  61.32	    .32	   7.05	   4.0 Y  6.0/.9	  28.16	  29.62	  27.01
198	1209	A	  1	H	  3	   132.5	       4.325	  64.50	   -.07	   6.65	   5.2 Y  6.3/.9	  31.66	  33.41	  30.95
198	1209	A	  1	H	  3	   135.0	       4.350	  63.79	    .20	   5.86	   4.2 Y  6.2/.8	  30.91	  32.54	  30.65
198	1209	A	  1	H	  3	   137.5	       4.375	  64.74	    .34	   6.24	   3.7 Y  6.3/.8	  32.06	  33.72	  31.54
198	1209	A	  1	H	  3	   140.0	       4.400	  67.86	    .43	   6.52	   3.3 Y  6.6/.9	  35.95	  37.78	  35.31
198	1209	A	  1	H	  3	   142.5	       4.425	  61.52	    .24	   5.71	   4.2 Y  6.0/.8	  28.35	  29.84	  28.09
198	1209	A	  1	H	  3	   145.0	       4.450	  60.47	    .42	   6.46	   3.7 Y  5.9/.9	  27.26	  28.65	  26.45
198	1209	A	  1	H	  3	   147.5	       4.475	  60.94	    .48	   6.82	   3.5 Y  5.9/.9	  27.79	  29.18	  26.74
198	1209	A	  1	H	  4	     2.5	       4.525	  70.02	    .70	   5.75	   2.0 Y  6.9/.8	  38.87	  40.77	  38.86
198	1209	A	  1	H	  4	     5.0	       4.550	  72.90	    .56	   5.46	   2.1 Y  7.2/.8	  42.85	     45	  43.32
198	1209	A	  1	H	  4	     7.5	       4.575	  71.72	    .57	   5.98	   2.2 Y  7.0/.8	  41.18	  43.24	  41.13
198	1209	A	  1	H	  4	    10.0	       4.600	  73.01	    .44	   6.28	   2.6 Y  7.2/.8	  42.98	  45.18	  42.78
198	1209	A	  1	H	  4	    12.5	       4.625	  72.72	    .41	   6.09	   2.5 Y  7.1/.8	  42.55	  44.74	  42.51
198	1209	A	  1	H	  4	    15.0	       4.650	  73.43	    .47	   5.82	   2.3 Y  7.2/.8	  43.59	  45.82	  43.81
198	1209	A	  1	H	  4	    17.5	       4.675	  73.32	    .46	   6.08	   2.4 Y  7.2/.8	  43.43	  45.65	  43.42
198	1209	A	  1	H	  4	    20.0	       4.700	  74.39	    .65	   4.46	   1.4 Y  7.3/.6	  45.08	  47.32	  46.55
198	1209	A	  1	H	  4	    22.5	       4.725	  76.51	    .39	   4.71	   2.3 Y  7.5/.6	  48.22	  50.72	  49.75
198	1209	A	  1	H	  4	    25.0	       4.750	  74.63	    .21	   5.38	   3.2 Y  7.3/.7	  45.29	   47.7	  46.09
198	1209	A	  1	H	  4	    27.5	       4.775	  75.91	    .26	   4.76	   2.9 Y  7.5/.6	  47.25	  49.75	  48.72
198	1209	A	  1	H	  4	    30.0	       4.800	  74.00	    .07	   5.68	   4.0 Y  7.3/.7	   44.3	   46.7	  44.82
198	1209	A	  1	H	  4	    32.5	       4.825	  73.37	   -.03	   5.26	   4.6 Y  7.2/.7	  43.34	  45.73	  44.22
198	1209	A	  1	H	  4	    35.0	       4.850	  74.33	   -.23	   4.84	   5.8 Y  7.3/.6	  44.68	  47.22	   46.1
198	1209	A	  1	H	  4	    37.5	       4.875	  73.90	    .05	   5.22	   4.2 Y  7.3/.7	  44.14	  46.55	  45.08
198	1209	A	  1	H	  4	    40.0	       4.900	  72.16	   -.15	   5.61	   5.1 Y  7.1/.7	  41.56	  43.89	  42.08
198	1209	A	  1	H	  4	    42.5	       4.925	  68.94	   -.33	   9.16	  5.4 Y  6.8/1.2	  37.11	  39.26	  34.71
198	1209	A	  1	H	  4	    45.0	       4.950	  70.14	   -.16	   7.20	   4.9 Y  6.9/.9	  38.77	  40.95	  37.87
198	1209	A	  1	H	  4	    47.5	       4.975	  72.98	   -.34	   4.50	   6.6 Y  7.2/.6	  42.67	  45.13	   44.3
198	1209	A	  1	H	  4	    50.0	       5.000	  71.12	   -.47	   5.00	   7.0 Y  7.0/.6	  40.01	  42.36	  41.08
198	1209	A	  1	H	  4	    52.5	       5.025	  69.31	   -.74	   4.93	   8.6 Y  6.8/.6	  37.48	  39.77	  38.54
198	1209	A	  1	H	  4	    55.0	       5.050	  69.21	   -.35	   6.08	   6.0 Y  6.8/.8	  37.46	  39.63	  37.47
